,Growth_rate
IL401,-0.2056195291190669
IL402,-0.19176981779676483
IL403,-0.2477662826240301
IL404,0.6754112939084037
IL405,0.28493615147512114
IL406,0.09276997382295471
IL407,0.5930249367546078
IL408,-0.7394643371412115
IL409,-0.2576829573372162
IL410,-0.10115708862930912
IL411,0.3944974576861462
IL412,0.07263541771220194
IL413,0.451364196444288
IL414,-0.13995651012899427
IL415,-0.38591549295774646
IL416,0.6506359696704922
IL417,1.3716594157862025
IL418,-0.12028081937171066
IL419,-0.004511544066129637
IL420,1.901187024284161
IL421,0.05016064409627678
IL422,-0.0978959910057631
IL423,0.05952970297029707
IL424,0.1558043070629013
IL425,0.07481579605667114
IL426,1.2418367346938775
IL427,-0.13130428206343536
IL428,-0.26930455094280004
IL429,1.316589861751152
IL430,-0.2926441117529176
IL431,-0.01162986886603935
IL432,3.343199436222692
IL433,0.7744601889338733
IL434,-0.27864115579851617
IL435,-0.08576517030436241
IL436,0.16616939206118955
IL437,0.9117112652791542
IL438,-0.39853621693454155
IL439,-0.24997644736546962
IL440,0.11553620567966436
IL441,1.0093374833259225
IL442,0.28409625702004826
IL443,0.7258212275880119
IL444,0.16817043643813506
IL445,0.00956145471157023
IL446,0.3464535823307596
IL447,0.025329135384805496
IL448,0.457893051552994
IL449,-0.049168487860371875
IL450,0.38459661678594675
IL451,0.06945375229977233
IL452,0.15391004609825984
IL453,-0.20772198818424487
IL454,-0.21228493788201167
IL455,0.5238821339458988
IL456,1.8989328609866183
IL457,-0.108190293976238
IL458,-0.08440300551794316
IL459,-0.21493910262737123
IL460,-0.23170571986474253
IL461,0.7106623201081338
IL462,-0.46484664644421975
IL463,0.3497341623862306
IL464,0.050665611133101474
IL465,-0.0005103251839545563
IL466,0.6339906776622445
IL467,-0.02049406223380263
IL468,0.005528310298707109
IL469,-0.4811780095200029
IL470,-0.1468476553735696
IL471,0.5857338820301783
IL472,0.30151671563567045
IL473,-0.5963617033843246
IL475,1.388257575757576
IL476,-0.08517461324311937
IL477,0.4047285718657243
IL479,-0.061921627518204785
IL480,0.18996127712427852
IL481,1.0905132905591202
IL482,-0.2274242825182227
IL483,0.09109580042351277
IL484,-0.2857976426654219
IL485,-0.10364609178097949
IL486,1.168528738726612
IL487,0.9750762970498474
IL488,0.08614381164492527
IL489,1.2553097345132744
IL491,-0.3592039051702754
IL492,1.4213709677419355
IL493,1.9008674101610905
IL494,0.9313918825957348
IL495,-0.1359305639136943
IL496,-0.4592985656247409
IL497,0.03330059757946453
IL498,-0.7091906721536352
IL500,-0.18035150460725563
IL503,-0.44576719576719576
IL504,-0.6641305546366744
IL505,0.6137131820376629
IL507,0.752354442124797
IL508,0.10067421268505634
IL509,0.3516971743380132
IL510,0.2674914921843456
IL511,0.2876019089587693
IL512,-0.024966498372523925
IL513,0.23378044314228166
IL514,1.9488158899923609
IL515,0.1743993371996686
IL517,0.38548405767276744
IL518,0.5229915057182176
IL519,-0.13968360906521327
IL520,-0.6954600499858287
IL521,-0.10264739321097938
IL522,0.029197080291970802
IL523,0.66993006993007
IL524,0.04012002907920984
IL525,1.271598682543704
IL526,0.1431318681318682
IL527,0.10891081596231593
IL528,-0.2116976363080854
IL529,-0.07819952949853011
IL530,0.22659138932910725
IL531,-0.8527845573552252
IL532,0.18992137917969112
IL533,0.07153717782310402
IL535,-0.2373540145985402
IL536,-0.03475312566221665
IL537,-0.2615910135103642
IL538,2.635871593878313
IL539,0.02995826425018581
IL540,0.3563797313797314
IL541,-0.667813797089266
IL542,-0.2057495484647802
IL543,-0.2653900506518046
IL544,0.6062526554312422
IL545,0.7004183134014269
IL546,0.824528827406926
IL547,-0.06623211824099177
IL548,-0.24415567985686273
IL549,0.3800620098486231
IL550,-0.5510801823427074
IL551,0.09838250447421226
IL552,0.06415486453201963
IL553,0.25818370389576717
IL554,0.10921148697980038
IL555,-0.1772597481533675
IL556,-0.17719305492447712
IL557,-0.4565464895635674
IL558,0.07258710030753676
IL559,0.040883611666744216
IL560,0.008217340264967298
IL561,0.8163972286374134
IL562,-0.4107142857142857
IL563,0.5565101370041329
IL564,0.5939339067451336
IL565,-0.7043099564499175
IL566,-0.1960418995569908
IL567,-0.7944319036869827
IL569,0.4506269592476489
IL571,-0.11017316017316017
IL572,0.42319049581101503
IL574,-0.6574148835957476
IL576,-0.4268385140257771
IL577,-0.2373488113443626
IL578,-0.18200495179897805
IL580,1.4147924208580451
IL581,0.07158171630362323
IL583,0.173948644346922
IL584,0.8010910524932083
IL585,-0.34545709380146467
IL586,-0.49311243096801083
IL587,-0.02125020335122824
IL588,-0.34714908126539124
IL589,-0.22328860386972085
IL590,-0.19263456090651557
IL591,-0.7981688708036623
IL592,0.20091912228871556
IL593,0.3023741974018217
IL594,-0.23058584833882834
IL595,2.312428734321551
IL597,-0.61392706490679
IL598,-0.31178003732543913
IL599,1.4689809478608717
IL600,-0.23024054982817865
IL601,-0.029335566430272512
IL602,-0.19313031724576607
IL603,-0.17744493392070482
IL604,-0.03761574074074074
IL605,-0.3190900798555788
IL606,0.384896344144205
IL607,0.47055409379353047
IL608,-0.08329076838914427
IL609,-0.013001387695764194
IL610,0.36034912718204487
IL611,-0.04685495808867512
IL612,-0.05732980158199772
IL613,0.2146134908911864
IL614,-0.3798655114444588
IL615,0.10812208174644888
IL616,-0.0027766422057710956
IL617,-0.1746398976287642
IL618,0.05414842750353567
IL619,-0.5723954461875513
IL621,-0.4104871447902571
IL622,1.1645617342130066
IL624,0.9463046141282154
IL625,-0.050378395925903346
IL626,-0.13676810073452256
IL627,0.3333333333333333
IL628,0.0350232589496394
IL629,0.7542075508480083
IL630,-0.1407085648691659
IL631,-0.4829755366949576
IL632,-0.005805306000457108
IL633,-0.8037447383917472
IL634,0.15412873342916467
IL635,0.4212193460490465
IL636,0.13165911890431758
IL637,-0.2859019839705689
IL638,-0.3571503846559174
IL639,-0.4300645192010095
IL640,-0.5807677972418934
IL641,-0.15231635820209216
IL642,-0.019683280879680073
IL643,0.7303949745442601
IL644,0.10396741055614586
IL645,0.09331051456481688
IL646,0.5020172910662825
IL647,0.29217133045616966
IL648,-0.45907460545193685
IL649,0.8579240610813041
IL650,-0.6176836459393528
IL651,4.573834704269487
IL653,-0.3194103194103194
IL654,1.8640200672915166
IL655,-0.23896126354623007
IL656,1.027178338762215
IL657,0.030903643276178887
IL658,0.13454075867635193
IL659,-0.5427245639608621
IL660,0.06585231323907277
IL661,-0.03924886257561196
IL662,0.8745874587458746
IL664,0.8501585542317047
IL665,-0.4775682738659198
IL667,0.060966158615344934
IL668,-0.03698654235200985
IL669,0.7350863422291993
IL670,0.36874164314366376
IL671,-0.3688650306748466
IL672,1.597976687926105
IL673,-0.6400958466453675
IL674,1.2304083405734145
IL675,-0.19315732023468418
IL676,-0.03226812159002345
IL678,-0.05972288580984233
IL679,-0.22920792079207916
IL680,-0.08506647542340158
IL681,0.11522196762234764
IL682,-0.11030678215721026
IL683,1.2302511305686519
IL684,-0.24596084698361967
IL685,-0.1555728395681228
IL686,0.04644770451411657
IL687,-0.006287156016417967
IL688,7.275476966030712
IL689,-0.5887794088075609
IL690,2.615962441314554
IL691,-0.10051296941540842
IL692,-0.4187389401136257
IL693,0.14233668341708547
IL695,-0.16775653923541242
IL697,-0.08086434199235515
IL698,-0.5413546076196679
IL699,0.3333333333333333
IL700,0.17484329928210454
IL701,-0.40485543405173935
IL702,-0.1917808219178082
IL703,0.00970502258836035
IL706,-0.015715793800564322
IL708,-0.01223113379511489
IL709,1.2695417789757413
IL711,-0.575376319928106
IL712,2.130252100840336
IL713,1.1621641840670303
IL714,1.1853847216466362
IL715,0.5134093711467325
IL716,0.01596135880259997
IL717,-0.5602771966527197
IL718,0.21526283790103828
IL719,0.13361005835288456
IL721,-0.0954533039291061
IL722,-0.3494539781591264
IL723,0.5841376246819852
IL724,0.07439363179826909
IL725,0.2887745903812503
IL726,-0.21481270055128593
IL727,-0.46212593034298466
IL728,-0.06039937759336104
IL729,-0.3283603603603603
IL730,0.022430421603747613
IL731,0.06432584269662926
IL734,0.7977640247554402
IL735,-0.6960224089635854
IL736,-0.03841991341991349
IL737,-0.3366990928867546
IL738,-0.578306291314196
IL739,-0.5437762410471721
IL740,-0.17967449217449216
IL741,1.5773307376162664
IL742,-0.8286556272803817
IL743,-0.7245923609559973
IL744,-0.4763460015835313
IL746,-0.0833958977747079
IL747,-0.2767599139256071
IL748,0.21323693669909222
IL749,-0.470182653925245
IL750,0.12815490043961725
IL751,-0.3184188393608074
IL752,0.42882172579938677
IL753,0.1301821466205029
IL754,0.6981077388099873
IL755,-0.4878063347335311
IL756,-0.4752396166134185
IL757,-0.5373804319725493
IL758,-0.21380055974106849
IL759,-0.4437495290483008
IL760,-0.514553934465439
IL761,-0.672567619277788
IL762,-0.30698587689066603
IL763,-0.14389692643622384
IL764,0.17015791169835642
IL765,-0.4679969491455546
IL766,-0.8604686600521486
IL767,0.6727667196447943
IL768,-0.8397974597366126
IL769,-0.5071787282563867
IL770,-0.2193771626297578
IL771,-0.770556247133591
IL772,0.0784691555167773
IL773,-0.37413528055342044
IL774,0.7016119209062487
IL775,0.24902896892290402
IL776,0.4653991889915575
IL777,-0.29187911566170555
IL778,0.2637344147970224
IL779,-0.5906147764449292
IL780,0.4786776950749387
IL781,-0.5148265819433412
IL782,0.09158810586026607
IL783,0.5299854185107108
IL784,1.398680230959582
IL785,0.06258644003311079
IL786,0.20522552740753805
IL787,2.0624784853700517
IL788,-0.234794711203897
IL789,-0.10263853103290825
IL790,-0.49644055398125897
IL791,-0.36900911496618644
IL792,-0.5054664625137668
IL793,-0.18216858418763487
IL794,0.22246649173817468
IL795,-0.3919420850503182
IL796,-0.14089788370659542
